Type,Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,TotalBytes,ChunkSize,TotalItems,Mean,Error,StdDev,Median,Ratio,RatioSD,Allocated,Alloc Ratio
ResizableByteWriterStreamingBench,Old.GetSpan+Advance(chunked),ShortRun,False,Default,Default,Default,Default,Default,Default,00000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,3,Default,1,Default,Default,Default,Default,Default,Default,1,3,4096,256,?,970.7 ns,"6,804.2 ns",373.0 ns,770.0 ns,1.19,0.57,0 B,NA
ResizableByteWriterStreamingBench,New.GetSpan+Advance(chunked),ShortRun,False,Default,Default,Default,Default,Default,Default,00000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,3,Default,1,Default,Default,Default,Default,Default,Default,1,3,4096,256,?,976.0 ns,"7,412.5 ns",406.3 ns,752.0 ns,1.19,0.60,0 B,NA
ResizableSpanWriterStreamingBench,Old.Write(chunked),ShortRun,False,Default,Default,Default,Default,Default,Default,00000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,3,Default,1,Default,Default,Default,Default,Default,Default,1,3,?,256,4096,949.3 ns,"8,354.5 ns",457.9 ns,744.0 ns,1.14,0.63,0 B,NA
ResizableSpanWriterStreamingBench,New.Write(chunked),ShortRun,False,Default,Default,Default,Default,Default,Default,00000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,3,Default,1,Default,Default,Default,Default,Default,Default,1,3,?,256,4096,"1,101.2 ns","9,578.5 ns",525.0 ns,952.5 ns,1.33,0.73,0 B,NA
ResizableSpanWriterStreamingBench,Old.GetSpan+Advance(chunked),ShortRun,False,Default,Default,Default,Default,Default,Default,00000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,3,Default,1,Default,Default,Default,Default,Default,Default,1,3,?,256,4096,"1,195.3 ns","6,159.5 ns",337.6 ns,"1,011.0 ns",1.44,0.61,0 B,NA
ResizableSpanWriterStreamingBench,New.GetSpan+Advance(chunked),ShortRun,False,Default,Default,Default,Default,Default,Default,00000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,3,Default,1,Default,Default,Default,Default,Default,Default,1,3,?,256,4096,"1,415.8 ns","10,439.8 ns",572.2 ns,"1,095.5 ns",1.70,0.85,0 B,NA
ResizableByteWriterStreamingBench,Old.Write(chunked),ShortRun,False,Default,Default,Default,Default,Default,Default,00000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,3,Default,1,Default,Default,Default,Default,Default,Default,1,3,4096,4096,?,538.3 ns,"7,931.3 ns",434.7 ns,339.0 ns,1.45,1.36,0 B,NA
ResizableByteWriterStreamingBench,New.Write(chunked),ShortRun,False,Default,Default,Default,Default,Default,Default,00000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,3,Default,1,Default,Default,Default,Default,Default,Default,1,3,4096,4096,?,468.8 ns,"6,763.3 ns",370.7 ns,345.5 ns,1.27,1.17,0 B,NA
ResizableByteWriterStreamingBench,Old.GetSpan+Advance(chunked),ShortRun,False,Default,Default,Default,Default,Default,Default,00000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,3,Default,1,Default,Default,Default,Default,Default,Default,1,3,4096,4096,?,487.5 ns,"7,168.5 ns",392.9 ns,319.5 ns,1.32,1.23,0 B,NA
ResizableByteWriterStreamingBench,New.GetSpan+Advance(chunked),ShortRun,False,Default,Default,Default,Default,Default,Default,00000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,3,Default,1,Default,Default,Default,Default,Default,Default,1,3,4096,4096,?,539.2 ns,"7,967.6 ns",436.7 ns,326.5 ns,1.46,1.37,0 B,NA
ResizableSpanWriterStreamingBench,Old.Write(chunked),ShortRun,False,Default,Default,Default,Default,Default,Default,00000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,3,Default,1,Default,Default,Default,Default,Default,Default,1,3,?,4096,4096,769.3 ns,"9,379.8 ns",514.1 ns,475.0 ns,1.27,0.95,0 B,NA
ResizableSpanWriterStreamingBench,New.Write(chunked),ShortRun,False,Default,Default,Default,Default,Default,Default,00000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,3,Default,1,Default,Default,Default,Default,Default,Default,1,3,?,4096,4096,758.0 ns,"9,947.2 ns",545.2 ns,558.0 ns,1.25,0.99,0 B,NA
ResizableSpanWriterStreamingBench,Old.GetSpan+Advance(chunked),ShortRun,False,Default,Default,Default,Default,Default,Default,00000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,3,Default,1,Default,Default,Default,Default,Default,Default,1,3,?,4096,4096,674.0 ns,"7,387.5 ns",404.9 ns,492.0 ns,1.12,0.78,0 B,NA
ResizableSpanWriterStreamingBench,New.GetSpan+Advance(chunked),ShortRun,False,Default,Default,Default,Default,Default,Default,00000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,3,Default,1,Default,Default,Default,Default,Default,Default,1,3,?,4096,4096,784.5 ns,"10,218.9 ns",560.1 ns,531.5 ns,1.30,1.02,0 B,NA
ResizableByteWriterStreamingBench,Old.Write(chunked),ShortRun,False,Default,Default,Default,Default,Default,Default,00000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,3,Default,1,Default,Default,Default,Default,Default,Default,1,3,65536,16,?,"43,857.0 ns","41,798.1 ns","2,291.1 ns","42,685.0 ns",1.00,0.06,0 B,NA
ResizableByteWriterStreamingBench,New.Write(chunked),ShortRun,False,Default,Default,Default,Default,Default,Default,00000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,3,Default,1,Default,Default,Default,Default,Default,Default,1,3,65536,16,?,"43,063.5 ns","19,191.7 ns","1,052.0 ns","43,115.5 ns",0.98,0.05,0 B,NA
ResizableByteWriterStreamingBench,Old.GetSpan+Advance(chunked),ShortRun,False,Default,Default,Default,Default,Default,Default,00000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,3,Default,1,Default,Default,Default,Default,Default,Default,1,3,65536,16,?,"45,137.7 ns","43,328.5 ns","2,375.0 ns","45,465.0 ns",1.03,0.07,0 B,NA
ResizableByteWriterStreamingBench,New.GetSpan+Advance(chunked),ShortRun,False,Default,Default,Default,Default,Default,Default,00000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,3,Default,1,Default,Default,Default,Default,Default,Default,1,3,65536,16,?,"45,853.7 ns","39,876.9 ns","2,185.8 ns","44,740.0 ns",1.05,0.06,0 B,NA
ResizableSpanWriterStreamingBench,Old.Write(chunked),ShortRun,False,Default,Default,Default,Default,Default,Default,00000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,3,Default,1,Default,Default,Default,Default,Default,Default,1,3,?,16,65536,"39,101.2 ns","139,638.9 ns","7,654.1 ns","35,291.5 ns",1.02,0.24,0 B,NA
ResizableSpanWriterStreamingBench,New.Write(chunked),ShortRun,False,Default,Default,Default,Default,Default,Default,00000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,3,Default,1,Default,Default,Default,Default,Default,Default,1,3,?,16,65536,"361,415.7 ns","205,946.7 ns","11,288.6 ns","358,540.0 ns",9.46,1.47,0 B,NA
ResizableSpanWriterStreamingBench,Old.GetSpan+Advance(chunked),ShortRun,False,Default,Default,Default,Default,Default,Default,00000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,3,Default,1,Default,Default,Default,Default,Default,Default,1,3,?,16,65536,"59,203.8 ns","152,698.5 ns","8,369.9 ns","54,846.5 ns",1.55,0.30,0 B,NA
ResizableSpanWriterStreamingBench,New.GetSpan+Advance(chunked),ShortRun,False,Default,Default,Default,Default,Default,Default,00000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,3,Default,1,Default,Default,Default,Default,Default,Default,1,3,?,16,65536,"380,982.3 ns","102,937.7 ns","5,642.4 ns","383,278.0 ns",9.97,1.53,0 B,NA
ResizableByteWriterStreamingBench,Old.Write(chunked),ShortRun,False,Default,Default,Default,Default,Default,Default,00000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,3,Default,1,Default,Default,Default,Default,Default,Default,1,3,65536,256,?,"8,520.7 ns","16,357.9 ns",896.6 ns,"8,043.0 ns",1.01,0.13,0 B,NA
ResizableByteWriterStreamingBench,New.Write(chunked),ShortRun,False,Default,Default,Default,Default,Default,Default,00000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,3,Default,1,Default,Default,Default,Default,Default,Default,1,3,65536,256,?,"7,691.5 ns","13,500.3 ns",740.0 ns,"7,308.5 ns",0.91,0.11,0 B,NA
